Bandera,Alcance,Mujeres,Hombres,18 a 24,25 a 34,35 a 44,45 a 55,56 +,NSE 1-2,NSE 3-4,NSE 5-6,Género,Edad,NSE,% Mujeres,% Hombres,% 18 a 24,% 25 a 34,% 35 a 44,% 45 a 55,% 56 +,% NSE 1-2,% NSE 3-4,% NSE 5-6
ban_deportistas,88.479,28.105,55.705,7.842,22.165,20.960,12.701,11.509,18.397,14.016,1.479,83.810,75.177,33.892,"33,53%","66,47%","10,43%","29,48%","27,88%","16,89%","15,31%","54,28%","41,35%","4,36%"
ban_familia,10.419.803,4.046.123,4.567.670,760.119,1.795.389,1.687.040,1.257.387,1.466.258,1.553.674,1.208.716,169.077,8.613.793,6.966.193,2.931.467,"46,97%","53,03%","10,91%","25,77%","24,22%","18,05%","21,05%","53,00%","41,23%","5,77%"
ban_comidaybebida,1.096.531,501.303,508.532,149.826,319.351,210.688,124.733,119.870,144.158,192.084,44.360,1.009.835,924.468,380.602,"49,64%","50,36%","16,21%","34,54%","22,79%","13,49%","12,97%","37,88%","50,47%","11,66%"
ban_comprasymoda,3.054.438,1.444.695,1.343.784,302.991,721.649,627.153,415.215,410.981,507.210,451.679,65.243,2.788.479,2.477.989,1.024.132,"51,81%","48,19%","12,23%","29,12%","25,31%","16,76%","16,59%","49,53%","44,10%","6,37%"
ban_construccion,1.298.746,561.114,658.136,99.830,327.342,284.507,188.232,193.746,235.082,207.508,30.125,1.219.250,1.093.657,472.715,"46,02%","53,98%","9,13%","29,93%","26,01%","17,21%","17,72%","49,73%","43,90%","6,37%"
ban_videoxxx,6.803,1.949,4.729,362,1.022,1.203,1.088,1.081,1.151,596,48,6.678,4.756,1.795,"29,19%","70,81%","7,61%","21,49%","25,29%","22,88%","22,73%","64,12%","33,20%","2,67%"
ban_entretenimiento,7.661.815,3.119.179,3.488.925,655.048,1.517.693,1.366.234,979.066,1.109.077,1.190.787,1.000.516,143.502,6.608.104,5.627.118,2.334.805,"47,20%","52,80%","11,64%","26,97%","24,28%","17,40%","19,71%","51,00%","42,85%","6,15%"
ban_giros,182.789,64.407,111.958,13.338,52.843,44.674,22.103,16.552,38.217,25.829,2.268,176.365,149.510,66.314,"36,52%","63,48%","8,92%","35,34%","29,88%","14,78%","11,07%","57,63%","38,95%","3,42%"
ban_competencia,1.074.241,452.606,515.705,112.021,259.595,222.024,137.608,135.125,171.673,140.334,19.254,968.311,866.373,331.261,"46,74%","53,26%","12,93%","29,96%","25,63%","15,88%","15,60%","51,82%","42,36%","5,81%"
ban_bebidas_alcoholicas,9.258,4.722,4.377,422,1.734,1.940,1.528,1.610,1.961,1.324,166,9.099,7.234,3.451,"51,90%","48,10%","5,83%","23,97%","26,82%","21,12%","22,26%","56,82%","38,37%","4,81%"
ban_tec_tv,1.045.839,458.304,561.520,50.563,174.981,200.784,153.196,168.071,205.853,129.497,13.827,1.019.824,747.595,349.177,"44,94%","55,06%","6,76%","23,41%","26,86%","20,49%","22,48%","58,95%","37,09%","3,96%"
ban_empleo,6.823.194,2.750.851,3.204.814,548.945,1.344.391,1.264.289,906.432,1.008.736,1.105.107,878.975,115.523,5.955.665,5.072.793,2.099.605,"46,19%","53,81%","10,82%","26,50%","24,92%","17,87%","19,89%","52,63%","41,86%","5,50%"
ban_hobbies,3.177.431,1.626.034,1.470.808,229.798,657.064,615.639,426.796,432.902,606.899,439.497,53.805,3.096.842,2.362.199,1.100.201,"52,51%","47,49%","9,73%","27,82%","26,06%","18,07%","18,33%","55,16%","39,95%","4,89%"
ban_tec_audio,956.917,419.545,512.831,46.249,154.551,178.393,139.190,155.681,186.288,114.397,12.038,932.376,674.064,312.723,"45,00%","55,00%","6,86%","22,93%","26,47%","20,65%","23,10%","59,57%","36,58%","3,85%"
ban_seguros,793.851,371.092,378.067,51.086,208.076,198.401,115.696,112.076,153.631,146.328,20.637,749.159,685.335,320.596,"49,53%","50,47%","7,45%","30,36%","28,95%","16,88%","16,35%","47,92%","45,64%","6,44%"
ban_salud_fitness,1.486.353,705.588,630.064,191.250,359.933,258.674,180.772,193.756,219.293,203.957,30.928,1.335.652,1.184.385,454.178,"52,83%","47,17%","16,15%","30,39%","21,84%","15,26%","16,36%","48,28%","44,91%","6,81%"
